time_s,JR_mean_T_K,JR_max_T_K,JR_probe_centerline_T_K,JR_probe_radial_edge_T_K,JR_probe_axial_bottom_T_K,JR_probe_axial_top_T_K,Can_mean_T_K,Can_wall_probe_T_K,top_end_T_K,bottom_end_T_K,total_stored_energy_J_rel_t0,total_boundary_heat_loss_J_cumulative,wallheatflux_raw_W_DIAGNOSTIC_ONLY
5.0,298.425216,298.437483,298.43745,298.41633,298.37955,298.43167,298.406151,298.41531,298.15016,298.37196,16.494720906262135,-0.2587276562621348,-0.192091349099
5.05,298.427947,298.440355,298.44032,298.41906,298.382,298.43447,298.408779,298.41803,298.15017,298.37438,16.660727176338458,-0.26237399383845883,-0.194069772165
5.1,298.430678,298.443227,298.44319,298.42179,298.38444,298.43727,298.411408,298.42076,298.15017,298.3768,16.826721595730014,-0.26600848073001515,-0.19604841254
5.15,298.433408,298.446099,298.44606,298.42452,298.38689,298.44006,298.414037,298.42348,298.15018,298.37922,16.992704145914697,-0.269631098414699,-0.19802726360300002
5.2,298.436138,298.448971,298.44893,298.42725,298.38934,298.44286,298.416666,298.42621,298.15019,298.38164,17.158674835411535,-0.27324185541153767,-0.20000632074
5.25,298.438868,298.451843,298.4518,298.42998,298.39178,298.44566,298.419295,298.42893,298.1502,298.38406,17.324633699491297,-0.27684078699130055,-0.20198557935
5.3,298.441598,298.454715,298.45467,298.43271,298.39423,298.44845,298.421925,298.43166,298.15021,298.38648,17.490580704355455,-0.2804278593554592,-0.20396503283999998
5.35,298.444327,298.457587,298.45754,298.43544,298.39668,298.45125,298.424554,298.43438,298.15021,298.3889,17.65651589370894,-0.28400311620894314,-0.20594467562000002
5.4,298.447056,298.460458,298.46041,298.43817,298.39913,298.45404,298.427183,298.43711,298.15022,298.39133,17.82243923201454,-0.28756652201454,-0.20792450513
5.45,298.449784,298.46333,298.46328,298.4409,298.40159,298.45684,298.429813,298.43983,298.15023,298.39375,17.988350765584176,-0.2911181230841784,-0.20990451578
5.5,298.452513,298.466201,298.46615,298.44363,298.40404,298.45963,298.432443,298.44256,298.15024,298.39618,18.154250440852536,-0.29465786585253895,-0.21188470202
5.55,298.455241,298.469072,298.46902,298.44636,298.40649,298.46243,298.435073,298.44529,298.15025,298.3986,18.320138312710416,-0.2981858052104194,-0.21386506031000002
5.6,298.457968,298.471943,298.47189,298.44909,298.40895,298.46522,298.437703,298.44801,298.15026,298.40103,18.486014365095937,-0.30170192509594074,-0.21584558510000001
5.65,298.460696,298.474814,298.47475,298.45182,298.4114,298.46802,298.440332,298.45074,298.15027,298.40345,18.651878597513054,-0.3052062250130554,-0.21782627285
5.7,298.463423,298.477685,298.47762,298.45455,298.41386,298.47081,298.442963,298.45346,298.15028,298.40588,18.817731031403333,-0.3086987264033354,-0.21980712005
5.75,298.46615,298.480556,298.48049,298.45729,298.41631,298.47361,298.445593,298.45619,298.15029,298.40831,18.983571648387336,-0.3121794108873388,-0.22178812016
5.8,298.468876,298.483426,298.48336,298.46002,298.41877,298.4764,298.448223,298.45892,298.1503,298.41074,19.149400443589055,-0.31564827358905845,-0.2237692717
5.85,298.471603,298.486297,298.48622,298.46275,298.42123,298.4792,298.450853,298.46164,298.15031,298.41317,19.315217470739498,-0.31910536823950153,-0.22575057014
5.9,298.474328,298.489167,298.48909,298.46548,298.42369,298.48199,298.453483,298.46437,298.15032,298.4156,19.481022669575815,-0.32255063457581556,-0.22773200999
5.95,298.477054,298.492037,298.49196,298.46821,298.42615,298.48478,298.456114,298.4671,298.15033,298.41803,19.6468160970149,-0.3259841295149002,-0.22971358978
6.0,298.479779,298.494907,298.49483,298.47094,298.42861,298.48758,298.458744,298.46982,298.15034,298.42046,19.8125977087939,-0.3294058087939007,-0.23169530400000002
6.05,298.482505,298.497777,298.49769,298.47367,298.43107,298.49037,298.461375,298.47255,298.15036,298.4229,19.978367554408575,-0.33281572190857744,-0.23367714921
6.1,298.485229,298.500647,298.50056,298.47641,298.43353,298.49317,298.464005,298.47528,298.15037,298.42533,20.144125590174976,-0.3362138251749798,-0.23565912291
6.15,298.487954,298.503517,298.50342,298.47914,298.43599,298.49596,298.466636,298.478,298.15038,298.42776,20.309871862981858,-0.33960016548185834,-0.23764122066
6.2,298.490678,298.506386,298.50629,298.48187,298.43845,298.49875,298.469266,298.48073,298.15039,298.4302,20.475606350938136,-0.3429747209381375,-0.23962344001000002
6.25,298.493402,298.509256,298.50916,298.4846,298.44092,298.50155,298.471897,298.48346,298.15041,298.43263,20.64132905600802,-0.34633749350802034,-0.24160577649
6.3,298.496125,298.512125,298.51202,298.48733,298.44338,298.50434,298.474527,298.48618,298.15042,298.43507,20.807039972589855,-0.3496884775898579,-0.24358822669
6.35,298.498849,298.514994,298.51489,298.49006,298.44585,298.50713,298.477158,298.48891,298.15043,298.4375,20.972739129833737,-0.3530277023337405,-0.24557078915
6.4,298.501572,298.517863,298.51775,298.4928,298.44831,298.50992,298.479789,298.49164,298.15045,298.43994,21.138426506138014,-0.35635514613801433,-0.24755345945
6.45,298.504295,298.520731,298.52062,298.49553,298.45078,298.51272,298.482419,298.49437,298.15046,298.44237,21.304102139231656,-0.3596708467316567,-0.24953623416999998
6.5,298.507017,298.5236,298.52348,298.49826,298.45324,298.51551,298.48505,298.49709,298.15048,298.44481,21.469765997195456,-0.36297477219545726,-0.2515191109
6.55,298.509739,298.526468,298.52634,298.50099,298.45571,298.5183,298.487681,298.49982,298.15049,298.44725,21.635418067440817,-0.3662669099408191,-0.25350208721999995
6.6,298.512461,298.529336,298.52921,298.50372,298.45818,298.52109,298.490311,298.50255,298.15051,298.44969,21.80105839815898,-0.36954730815898174,-0.25548515973
6.65,298.515183,298.532204,298.53207,298.50645,298.46064,298.52388,298.492942,298.50527,298.15052,298.45212,21.966686982299056,-0.37281595979905546,-0.25746832502
6.7,298.517904,298.535072,298.53493,298.50919,298.46311,298.52668,298.495573,298.508,298.15054,298.45456,22.132303764954894,-0.3760728099548949,-0.25945158072
6.75,298.520625,298.53794,298.5378,298.51192,298.46558,298.52947,298.498203,298.51073,298.15056,298.457,22.29790884550362,-0.37931795800362167,-0.26143492442
6.8,298.523346,298.540807,298.54066,298.51465,298.46805,298.53226,298.500834,298.51345,298.15057,298.45944,22.46350212425921,-0.3825513042592128,-0.26341835375
6.85,298.526066,298.543675,298.54352,298.51738,298.47052,298.53505,298.503465,298.51618,298.15059,298.46188,22.629083700888255,-0.38577294838825793,-0.26540186433
6.9,298.528786,298.546542,298.54638,298.52011,298.47299,298.53784,298.506095,298.51891,298.15061,298.46432,22.794653475704738,-0.3889827907047412,-0.26738545578
6.95,298.531506,298.549409,298.54925,298.52284,298.47546,298.54063,298.508726,298.52163,298.15063,298.46676,22.960211540954095,-0.3921809234540987,-0.26936912474999997
7.0,298.534226,298.552276,298.55211,298.52558,298.47793,298.54343,298.511357,298.52436,298.15064,298.4692,23.1257578399915,-0.39536728999150483,-0.27135286786
7.05,298.536945,298.555142,298.55497,298.52831,298.48041,298.54622,298.513987,298.52709,298.15066,298.47164,23.29129243045537,-0.3985419479553727,-0.27333668376
7.1,298.539664,298.558009,298.55783,298.53104,298.48288,298.54901,298.516618,298.52981,298.15068,298.47409,23.45681524799034,-0.4017048329903403,-0.2753205701
7.15,298.542383,298.560875,298.56069,298.53377,298.48535,298.5518,298.519248,298.53254,298.1507,298.47653,23.622326313310257,-0.40485596581025973,-0.27730452353
7.2,298.545101,298.563741,298.56355,298.5365,298.48782,298.55459,298.521879,298.53527,298.15072,298.47897,23.787825668921897,-0.40799538892190057,-0.2792885427
7.25,298.54782,298.566607,298.56641,298.53923,298.4903,298.55738,298.524509,298.53799,298.15074,298.48141,23.953313292932137,-0.41112308043214085,-0.28127262528
7.3,298.550538,298.569472,298.56927,298.54196,298.49277,298.56017,298.52714,298.54072,298.15076,298.48386,24.118789164316173,-0.41423901931617735,-0.28325676894
7.35,298.553255,298.572337,298.57213,298.54469,298.49525,298.56296,298.52977,298.54344,298.15078,298.4863,24.284253307118494,-0.4173432296184991,-0.28524097133
7.4,298.555973,298.575203,298.57499,298.54742,298.49772,298.56575,298.5324,298.54617,298.1508,298.48874,24.449705699880138,-0.42043568988014,-0.28722523015
7.45,298.55869,298.578068,298.57785,298.55016,298.5002,298.56854,298.535031,298.5489,298.15083,298.49119,24.615146401831453,-0.42351645933145576,-0.28920954306
7.5,298.561407,298.580932,298.58071,298.55289,298.50267,298.57133,298.537661,298.55162,298.15085,298.49363,24.780575330733654,-0.42658545573365814,-0.29119390875
7.55,298.564123,298.583797,298.58356,298.55562,298.50515,298.57412,298.540291,298.55435,298.15087,298.49608,24.945992561672373,-0.4296427541723773,-0.29317832590000004
7.6,298.566839,298.586661,298.58642,298.55835,298.50762,298.57691,298.542921,298.55707,298.15089,298.49852,25.11139807666398,-0.4326883366639862,-0.29516279020999997
7.65,298.569555,298.589525,298.58928,298.56108,298.5101,298.5797,298.545551,298.5598,298.15092,298.50097,25.27679183651081,-0.4357221640108122,-0.29714730237000003
7.7,298.572271,298.592389,298.59214,298.56381,298.51258,298.58249,298.548181,298.56253,298.15094,298.50341,25.442173900877417,-0.43874429587742014,-0.29913185808
7.75,298.574987,298.595253,298.59499,298.56654,298.51505,298.58528,298.550811,298.56525,298.15097,298.50586,25.607544222710857,-0.44175468521086003,-0.30111645704
7.8,298.577702,298.598116,298.59785,298.56927,298.51753,298.58806,298.553441,298.56798,298.15099,298.5083,25.772902835068656,-0.44475336506866014,-0.30310109695
7.85,298.580417,298.60098,298.60071,298.572,298.52001,298.59085,298.556071,298.5707,298.15102,298.51075,25.938249744546052,-0.44774034204605684,-0.30508577553
7.9,298.583131,298.603843,298.60356,298.57473,298.52249,298.59364,298.558701,298.57343,298.15104,298.5132,26.103584888524292,-0.4507155535242937,-0.30707049149000004
7.95,298.585846,298.606705,298.60642,298.57746,298.52497,298.59643,298.561331,298.57615,298.15107,298.51564,26.268908351102056,-0.4536790836020579,-0.30905524254
8.0,298.58856,298.609568,298.60928,298.58019,298.52744,298.59922,298.56396,298.57888,298.15109,298.51809,26.434220096412297,-0.4566308964122996,-0.3110400284
8.05,298.591273,298.61243,298.61213,298.58292,298.52992,298.60201,298.56659,298.5816,298.15112,298.52054,26.599520131629138,-0.4595709991291379,-0.31302484581
8.1,298.593987,298.615292,298.61498,298.58565,298.5324,298.6048,298.56922,298.58433,298.15115,298.52298,26.76480844503026,-0.4624993800302626,-0.31500969346999996
